epoch,acc,loss,mean_squared_error,val_acc,val_loss,val_mean_squared_error
0,0.40840595449720113,13.863913086482457,3510.771390195404,0.4769379446541306,6.590931857589387,1.1045356284092813
1,0.48025471227509636,6.8410746846880235,1.2164345843451363,0.48298560898669446,5.361837021625825,0.7403191275840258
2,0.42819595081465583,5.840455750056676,1.9702401995658874,0.4952345505683091,5.055541261269228,0.6454793710778229
3,0.4314339220523834,5.415212508610317,4.200166407653263,0.29497531578488595,4.163413576836134,2.356670790345129
4,0.4724510456834521,5.135176576886859,2.2428009510040283,0.5219031594095439,4.205837549084294,1.361169869012206
5,0.5848387326513018,4.909037222181047,1.5514963456562587,0.5143703270132525,4.240998856342622,1.0095608330121006
6,0.5556541800498962,4.906525652749198,1.7180175338472639,0.5571987028539616,3.8623450307080347,0.8423896218738417
7,0.6022127338818142,4.778816250392369,2.7080932446888517,0.5987023898284801,3.7571262234318867,1.0341883871677149
8,0.613420992238181,4.3512138094220845,2.02752057824816,0.5828213382811442,3.587101744909356,0.5921128857744872
9,0.583377024105617,4.371843051910401,3.3123921292168754,0.57213867972367,3.622839370783228,0.6231217210310219
10,0.5875934907368251,4.379152931485858,5.619257911614009,0.6133324303766237,3.5401891826713174,1.0186770258158664
11,0.6412482244627816,4.087024981634958,3.8739985193525044,0.6038838376964095,3.465086940431247,1.1080680972468244
12,0.6416077136993408,3.990501962389265,4.308147181783403,0.7077834440843902,4.274338596928729,0.46889811536691484
13,0.6134525435311454,3.9859531538827078,4.000775415556771,0.6433927429853564,3.199522218565001,1.1533322369095182
14,0.6456531882286072,3.9361857550484793,4.000594169752938,0.6609194296119857,3.4043295400856186,0.623919755002878
15,0.6039681332451957,4.431840004239763,7.393427562713623,0.6072381095294535,4.3282344045430206,1.2713209660383906
16,0.5947039229529244,4.098517649514335,13.463306420189994,0.655179913026573,3.2807951878457176,1.7195918298985837
17,0.5847492388316563,3.8334119728633334,7.299649855068751,0.6215843745391735,3.4451136589050293,0.961561314380952
18,0.5660473661763328,4.23703224999564,10.021108508110046,0.5497264944723923,4.143362661347772,0.9763086172786072
19,0.5607972996575492,3.9554740701402937,9.117434648105077,0.6133894837685745,3.0141763547911262,1.4724512483081678
20,0.5808242900030953,3.6447448253631594,13.182298857825144,0.6198766422967841,3.0338687722700355,1.6954591709331874
